source,target,relation
Type 2 Diabetes,IRS1,associated_with
Type 2 Diabetes,AKT1,associated_with
IRS1,PI3K Pathway,participates_in
AKT1,Insulin Signaling,participates_in
Metformin,AMPK,activates
Metformin,Type 2 Diabetes,treats
Breast Cancer,BRCA1,associated_with
Breast Cancer,HER2,associated_with
BRCA1,DNA Repair,participates_in
Trastuzumab,HER2,targets
HER2,Cell Growth,activates
Alzheimer's Disease,APOE,associated_with
Alzheimer's Disease,Amyloid Beta,associated_with
APOE,Lipid Metabolism,participates_in
Donepezil,Alzheimer's Disease,treats
Parkinson's Disease,LRRK2,associated_with
Parkinson's Disease,SNCA,associated_with
SNCA,Dopamine Signaling,participates_in
Levodopa,Parkinson's Disease,treats
Asthma,IL4,associated_with
Asthma,IL13,associated_with
IL4,Inflammatory Response,participates_in
Salbutamol,Asthma,treats
Hypertension,ACE,associated_with
Hypertension,AGT,associated_with
ACE,Renin Angiotensin System,participates_in
Lisinopril,ACE,inhibits
Lisinopril,Hypertension,treats
Coronary Artery Disease,LDLR,associated_with
Coronary Artery Disease,APOB,associated_with
Statins,HMGCR,inhibits
Statins,Coronary Artery Disease,treats
COVID-19,ACE2,associated_with
COVID-19,TMPRSS2,associated_with
ACE2,Viral Entry,participates_in
Remdesivir,COVID-19,treats
Rheumatoid Arthritis,TNF,associated_with
Rheumatoid Arthritis,IL6,associated_with
TNF,Inflammation,activates
Adalimumab,TNF,targets
Adalimumab,Rheumatoid Arthritis,treats
Obesity,LEP,associated_with
Obesity,MC4R,associated_with
LEP,Energy Homeostasis,participates_in
Depression,SLC6A4,associated_with
Depression,BDNF,associated_with
Fluoxetine,SLC6A4,targets
Lung Cancer,EGFR,associated_with
Lung Cancer,KRAS,associated_with
Gefitinib,EGFR,targets
Colorectal Cancer,APC,associated_with
Colorectal Cancer,KRAS,associated_with
Chronic Kidney Disease,NPHS1,associated_with
Chronic Kidney Disease,ACE,associated_with
Osteoporosis,RANKL,associated_with
Denosumab,RANKL,targets
Migraine,CGRP,associated_with
Migraine,TRPV1,associated_with
Sumatriptan,Migraine,treats
